Country_Name,Food_production_index,Foreign_direct_investmen,Acces_to_electricity ,Total_tax_and_contribution_rate ,Secure_Internet_servers,Agriculture_forestry_and_fishing_value_added ,Industry_value added_percentof_gdp,GDP,GDP_growth ,Inflation_GDP_deflator_annual,Unemployment_total_percent_of_total_labor_force,Rural_population_percent_of_total_population,Life_expectancy_at_birth_total_years,International_tourism_expenditures_percent_of_total_imports
Mexico,71.89,18382284821,98.007132,37.8,13.41888217,3.323086312,34.20970569,7.08E+11,4.942453715,11.15220612,2.650000095,25.278,74.34,3.318251632
Marshall Islands,19.33,739000,68.51438141,64.8,17.74276539,8.014391296,12.68107241,115347500,1.354079109,-0.454689463,2.933000088,31.42,65.23902439,0
Middle income,0.18153814,1.41E+11,78.08787488,47.52795699,6.183223662,10.93459438,33.45791965,5.82E+12,5.841487292,7.242596502,5.593690827,58.87644517,66.37992333,5.770867043
North Macedonia,82.23,217507099.2,100,17.8,19.95129936,10.09628146,21.40633672,3772857145,4.549135783,8.17838316,32.20000076,41.452,73.267,3.262093257
Mali,42.2,60181780.68,9.607888222,51.4,0.465136306,32.90186772,21.52094779,2961476518,-0.060834972,-0.61972792,5.626999855,71.644,48.069,7.128262658
Malta,118.8,743185324.7,100,26.1,1654.97409,1.872048947,26.93848692,4069515579,19.6812701,-9.380155258,6.320000172,7.632,78.34878049,5.609552323
Middle East & North Africa (excluding high income),1.006646736,5120765879,89.50068078,56.79166667,1.902169917,11.70217847,35.81684454,5.32E+11,6.097963042,10.0716655,13.18114156,44.55317109,69.35469409,5.200932721
Montenegro,74.7,27870106.7,100,30.1,20.98710423,11.30187792,21.25900465,984297589.4,3.100000184,11.02653052,28.58799934,41.456,73.228,0
Mongolia,79.54,53697000,67.3,40,9.191507635,27.42253062,22.19614216,1136896124,1.146062137,11.99969139,6.227000237,42.867,62.869,7.003357967
Mozambique,63.46,139300000,6.089135647,37,0.764929934,19.09520491,17.90235829,5656473652,1.180300789,11.49754484,2.852999926,70.902,48.946,0
Mauritania,72.39,40096000,100,85.8,1.717131246,24.8287453,29.95185026,1779523344,-3.918025879,6.351586758,9.848999977,61.909,60.706,0
Mauritius,102.2,265641239.4,99,26.2,30.39027511,5.705010141,25.98549052,4663313620,8.202791783,3.409929294,9.177000046,57.33,71.66341463,7.499381007
Malawi,50.9,25999996.36,4.8,33.4,0.206332921,35.66084815,16.15872227,1743506531,1.576077837,30.53395149,5.788000107,85.39,45.09,8.424849535
Malaysia,60.78,3787631579,100,36,44.91629121,8.599021888,48.32057149,93789736842,8.85886817,8.855216851,3,38.023,72.594,2.697666446
North America,0.153802286,4.17E+11,100,47.5,2363.187888,1.213876489,22.92724096,1.10E+13,4.185286714,2.235474406,4.275388135,20.89757588,76.88199634,5.784883234
Namibia,107.07,196350763.3,36.5,25.8,6.60727357,10.73102477,23.47216566,3922247990,3.492183364,11.28112665,20.29999924,67.627,52.192,0
Niger,39.23,15767212.37,6.481481481,42.5,0.182215467,36.57556007,18.09837916,2241753120,-1.208477743,3.178393703,1.49000001,83.814,49.928,7.007111512
Nigeria,67.25,1140167556,42.93611908,30.1,0.643520119,21.3572413,33.82300329,69448756933,5.015934757,22.6737374,3.953999996,65.16,46.267,5.075929204
Nicaragua,60.57,266500000,72.77522278,63.5,4.635942843,17.76550514,20.15532814,5107329007,4.101590251,8.56622836,7.354000092,44.815,69.527,6.287738909
Netherlands,94.26,63109732335,100,47.7,2084.813637,2.298636968,21.74037128,4.16E+11,4.195642498,3.420369821,2.730000019,23.205,77.98780488,5.899606929
Norway,92.63,8332062186,100,41.1,1557.293426,1.82301532,36.49480555,1.71E+11,3.204979222,15.38972664,3.460000038,23.98,78.63414634,9.889670335
Nepal,62.42,-484826.7123,28.91624069,32.5,0.888454303,38.24389704,20.73557003,5494252208,6.199999988,4.472433713,1.855000019,86.603,62.288,6.089200369
New Zealand,72.71,-1507812033,100,36.6,1388.742042,7.75290181,23.58998323,52623281957,2.905022988,2.849913455,6.130000114,13.979,78.63658537,7.109426169
