Country_Name,Food_production_index,Foreign_direct_investmen,Acces_to_electricity ,Total_tax_and_contribution_rate ,Secure_Internet_servers,Agriculture_forestry_and_fishing_value_added ,Industry_value added_percentof_gdp,GDP ,GDP_growth ,Inflation_GDP_deflator_annual,Unemployment_total_percent_of_total_labor_force,Rural_population_percent_of_total_population,Life_expectancy_at_birth_total_years,International_tourism_expenditures_percent_of_total_imports,category
Lao PDR,92.7,1358019506,98.07460022,24.1,20.39227371,15.70918682,31.53319249,18141651381,6.247960008,1.919889194,0.827000022,64.996,67.61,13.28658456,developing country
Lebanon,97.85,2658003845,100,31.1,174.2132849,3.217711507,14.24266069,55276157552,-1.702174807,5.454397231,10.79599953,11.407,78.875,19.50789531,developing country
Liberia,99.95,129129754.8,24.81807899,45.5,2.28264262,35.49669991,16.92386495,3422754800,1.157575122,-0.209872797,3.029999971,48.849,63.73,7.48977675,developing country
Libya,101.59,0,67,32.6,1099.787155,22.04289675,13.38724696,52607888718,15.13279989,18.12364521,19.45499992,19.898,72.724,10.83358092,developing country
St. Lucia,81.03,45522200.84,98.91943359,34.7,252.9001045,1.791446262,10.13585195,2065127259,2.926420885,0.482768211,19.07999992,81.322,76.057,8.636989536,developing country
Sri Lanka,116.25,1614044009,99.58686066,55.2,412.4134749,8.023787716,26.25703471,87963042341,3.272000479,3.826651153,4.320000172,81.524,76.812,9.265818284,developing country
Lesotho,95.7,40874071.93,47,13.6,39.36770719,4.32156306,31.65282691,2514146888,-1.223137311,9.622803752,22.81299973,71.847,53.705,14.31144755,developing country
Lithuania,88.17,1299841764,100,42.6,18267.07639,2.879630172,25.61934411,53724663843,3.993310328,3.526212136,6.150000095,32.321,75.6804878,18.08020773,developed country
Luxembourg,111.14,-16756576740,100,20.5,43151.57497,0.233119379,10.9856936,71250208996,2.00437712,1.731701858,5.590000153,9.019,82.29512195,2.530952651,developing country
Latvia,90.48,427807358.1,100,36,14504.13922,3.593805161,18.65960365,34412210812,3.989480387,3.893608357,7.409999847,31.858,74.78292683,15.20177688,developing country
"Macao SAR, China",103.52,1534095991,100,,2650.273181,23.0027856,4.08350755,55284360483,6.464613521,3.543470792,1.830000043,0,84.118,10.60684069,developing country
Morocco,112.89,3544387229,98.1,49.8,295.7332615,12.21673615,25.87375492,1.18E+11,3.148502656,1.089633971,9.265000343,37.547,76.453,5.393166682,developing country
Monaco,101.31,119435105.7,100,,10650.94876,0.408843634,13.12890888,7194024563,5.95627042,0.991522346,12.24800014,0,66.867,3.519927912,developing country
Moldova,121.29,293410000,99.99,40.3,3917.711082,10.27091924,22.65158681,11456728401,4.301477742,3.180023176,4.110000134,57.371,71.808,6.853922781,developing country
Madagascar,101.62,612036371.4,25.51556015,38.3,5.445064949,23.9733833,21.48195747,13760033097,3.194356515,8.297993313,1.843000054,62.809,66.681,6.409428092,1 pending recognition developed country
Maldives,102.77,575658028.2,100,30.2,523.5561485,5.235853287,12.80742445,5300962660,8.123128908,3.149739981,5.618999958,60.192,78.627,10.09302197,developing country
Mexico,110.58,37701279465,99.5,55.7,225.7454907,3.383800383,31.14884669,1.22E+12,2.194994725,4.946411123,3.279999971,19.844,74.992,2.785041162,developing country
Marshall Islands,101.43,9752051.362,95.82923126,65.7,136.9581593,16.52844524,12.21157738,221588900,3.574750982,0.345650272,5.021999836,22.969,76.152,17.97139205,developing country
North Macedonia,101.66,648732425,99.8,13,466.2325759,8.47039847,24.05042988,12683070061,2.88059671,3.926155289,20.73999977,42.037,75.688,3.056538997,developing country
Mali,125.32,467067198.1,50.9,48.3,10.53583087,37.61244316,20.22894748,17070866299,4.746484327,1.457963911,7.427999973,57.644,58.893,4.195404247,developing country
Malta,94.37,4464845211,100,44,14415.12081,0.74804381,12.38749267,14864712990,5.179224796,2.25673045,3.660000086,5.388,82.44878049,15.20177688,developing country
Montenegro,95.05,485653127.8,100,22.2,416.2468038,6.732237789,15.93412579,5504166667,5.077888811,3.226106405,15.17000008,33.187,76.77,1.991407262,developing country
